AES	AES	-1	-1	1	1
JUN	MYC	1	1	1	0.21
JUN	MYCBP	1	1	1	0.134
JUN	NFKB1	1	1	1	0.542
JUN	P107	1	1	1	0.212
JUN	P53	-1	-1	1	0.202
JUN	RELA	-1	-1	1	0.107
JUN	SP1	1	1	1	0.865
JUN	STAT3	1	1	1	0.614
JUN	STAT5B	1	1	1	0.497
JUN	TCF7L2	1	1	1	0.243
JUN	TIF1B	-1	-1	1	0.659
JUN	YY1	-1	-1	1	0.121
LKB1	LKB1	-1	-1	1	0.58
MAX_1	MAX_1	-1	-1	1	0.865
MIZ1	LKB1	1	1	1	0.103
MIZ1	MIZ1	-1	-1	1	0.983
MIZ1	RELA	1	1	1	0.341
MIZ1	TIF1B	1	1	1	0.415
MYB	MYB	-1	-1	1	0.37
MYC	BRCA1	1	1	1	0.183
MYC	BYSL	1	1	1	0.38
MYC	CEBPB	-1	-1	1	0.208
MYC	DP2	1	1	1	0.219
MYC	DVL3	-1	-1	1	0.444
MYC	E2F4	1	1	1	0.2
MYC	ENO1	1	1	1	0.467
MYC	FOXM1C	-1	-1	1	0.271
MYC	JUN	-1	-1	1	0.124
MYC	LKB1	-1	-1	1	0.171
MYC	MAX_1	-1	-1	1	0.157
MYC	MIZ1	1	1	1	0.11
MYC	MYB	1	1	1	0.657
MYC	MYC	1	1	1	0.645
MYC	RB1	1	1	1	0.199
MYC	SP1	-1	-1	1	0.891
MYC	STAT5B	1	1	1	0.25
MYC	TCF7L2	1	1	1	0.175
MYC	TIF1B	-1	-1	1	0.625
MYCBP	MYCBP	-1	-1	1	0.234
NFKB1	NFKB1	-1	-1	1	0.879
P107	BYSL	-1	-1	1	0.145
P107	DP2	1	1	1	0.104
P107	MIZ1	-1	-1	1	0.108
P107	P107	-1	-1	1	1
P107	SP1	1	1	1	0.24
P300	DP2	-1	-1	1	0.179
P300	MYC	-1	-1	1	0.509
P300	P300	-1	-1	1	1
P300	SP1	1	1	1	0.255
P53	P53	-1	-1	1	1
RB1	RB1	-1	-1	1	0.923
RELA	RELA	-1	-1	1	0.879
RPL11	RPL11	-1	-1	1	0.469
SP1	AIB1	1	1	1	0.289
SP1	BRCA1	1	1	1	0.176
SP1	BRD4	-1	-1	1	0.175
SP1	BYSL	1	1	1	0.227
SP1	CEBPB	-1	-1	1	0.142
SP1	DVL3	1	1	1	0.263
SP1	E2F4	1	1	1	0.125
SP1	GNL3	1	1	1	0.239
SP1	JUN	-1	-1	1	0.803
SP1	LKB1	1	1	1	0.134
SP1	MAX_1	1	1	1	0.165
SP1	MIZ1	1	1	1	0.541
SP1	MYB	-1	-1	1	0.296
SP1	MYC	-1	-1	1	0.169
SP1	SP1	-1	-1	1	0.553
SP1	TCF7L2	1	1	1	0.305
SP1	TIF1B	1	1	1	0.318
STAT3	STAT3	-1	-1	1	0.857
STAT5B	STAT5B	-1	-1	1	0.749
TBP	TBP	-1	-1	1	0.871
TCF7L2	TCF7L2	-1	-1	1	0.852
TIF1B	AIB1	1	1	1	0.711
TIF1B	BRCA1	1	1	1	0.127
TIF1B	BYSL	-1	-1	1	0.28
TIF1B	CCNB1	-1	-1	1	0.196
TIF1B	CEBPB	1	1	1	0.174
TIF1B	DP2	1	1	1	0.294
TIF1B	DVL3	1	1	1	0.833
TIF1B	E2F4	1	1	1	0.219
TIF1B	ENO1	1	1	1	0.611
TIF1B	FOXM1C	1	1	1	0.435
TIF1B	GNL3	1	1	1	0.493
TIF1B	JUN	1	1	1	0.208
TIF1B	LKB1	-1	-1	1	0.124
TIF1B	MAX_1	-1	-1	1	0.321
TIF1B	MIZ1	1	1	1	0.162
TIF1B	MYB	1	1	1	0.31
TIF1B	MYC	-1	-1	1	0.586
TIF1B	MYCBP	-1	-1	1	0.277
TIF1B	NFKB1	-1	-1	1	0.145
TIF1B	P107	1	1	1	0.134
TIF1B	RELA	-1	-1	1	0.271
TIF1B	RPL11	1	1	1	0.196
TIF1B	SP1	-1	-1	1	0.845
TIF1B	STAT5B	1	1	1	0.383
TIF1B	TCF7L2	-1	-1	1	0.145
TIF1B	TIF1B	-1	-1	1	0.607
TIF1B	YY1	1	1	1	0.337
YY1	YY1	-1	-1	1	0.817
