AES	AES	-1	-1	1	0.999
JUN	GNL3	-1	-1	1	0.449
JUN	JUN	-1	-1	1	0.262
JUN	LKB1	1	1	1	0.29
JUN	MAX_1	-1	-1	1	0.344
JUN	MIZ1	-1	-1	1	0.075
JUN	MYB	-1	-1	1	0.14
JUN	MYC	1	1	1	0.124
JUN	NFKB1	1	1	1	0.375
JUN	P107	1	1	1	0.082
JUN	SP1	1	1	1	0.814
JUN	STAT3	1	1	1	0.521
JUN	STAT5B	1	1	1	0.381
JUN	TCF7L2	1	1	1	0.119
JUN	TIF1B	-1	-1	1	0.557
JUN	YY1	-1	-1	1	0.063
LKB1	LKB1	-1	-1	1	0.381
MAX_1	MAX_1	-1	-1	1	0.583
MIZ1	MIZ1	-1	-1	1	0.951
MIZ1	RELA	1	1	1	0.187
MIZ1	TIF1B	1	1	1	0.245
MYC	BRCA1	1	1	1	0.093
MYC	BYSL	1	1	1	0.248
MYC	CEBPB	-1	-1	1	0.11
MYC	DP2	1	1	1	0.106
MYC	DVL3	-1	-1	1	0.319
MYC	E2F4	1	1	1	0.105
MYC	ENO1	1	1	1	0.301
MYC	FOXM1C	-1	-1	1	0.155
MYC	JUN	-1	-1	1	0.069
MYC	LKB1	-1	-1	1	0.089
MYC	MIZ1	1	1	1	0.06
MYC	MYB	1	1	1	0.483
MYC	MYC	1	1	1	0.518
MYC	RB1	1	1	1	0.106
MYC	SP1	-1	-1	1	0.818
MYC	STAT5B	1	1	1	0.134
MYC	TCF7L2	1	1	1	0.078
MYC	TIF1B	-1	-1	1	0.474
NFKB1	NFKB1	-1	-1	1	0.632
P107	P107	-1	-1	1	0.995
P107	SP1	1	1	1	0.065
P300	MYC	-1	-1	1	0.303
P300	P300	-1	-1	1	1
P300	SP1	1	1	1	0.081
P53	P53	-1	-1	1	0.994
RB1	RB1	-1	-1	1	0.709
RELA	RELA	-1	-1	1	0.648
SP1	AIB1	1	1	1	0.2
SP1	BRCA1	1	1	1	0.078
SP1	BRD4	-1	-1	1	0.072
SP1	BYSL	1	1	1	0.156
SP1	CEBPB	-1	-1	1	0.077
SP1	DVL3	1	1	1	0.154
SP1	E2F4	1	1	1	0.072
SP1	GNL3	1	1	1	0.145
SP1	JUN	-1	-1	1	0.671
SP1	MAX_1	1	1	1	0.088
SP1	MIZ1	1	1	1	0.333
SP1	MYB	-1	-1	1	0.237
SP1	MYC	-1	-1	1	0.106
SP1	SP1	-1	-1	1	0.473
SP1	TCF7L2	1	1	1	0.127
SP1	TIF1B	1	1	1	0.196
STAT3	STAT3	-1	-1	1	0.283
STAT5B	STAT5B	-1	-1	1	0.539
TBP	TBP	-1	-1	1	0.531
TCF7L2	TCF7L2	-1	-1	1	0.64
TIF1B	AIB1	1	1	1	0.589
TIF1B	BYSL	-1	-1	1	0.208
TIF1B	CCNB1	-1	-1	1	0.122
TIF1B	CEBPB	1	1	1	0.102
TIF1B	DP2	1	1	1	0.177
TIF1B	DVL3	1	1	1	0.748
TIF1B	E2F4	1	1	1	0.134
TIF1B	ENO1	1	1	1	0.568
TIF1B	FOXM1C	1	1	1	0.256
TIF1B	GNL3	1	1	1	0.381
TIF1B	JUN	1	1	1	0.141
TIF1B	LKB1	-1	-1	1	0.065
TIF1B	MAX_1	-1	-1	1	0.194
TIF1B	MIZ1	1	1	1	0.094
TIF1B	MYB	1	1	1	0.187
TIF1B	MYC	-1	-1	1	0.465
TIF1B	MYCBP	-1	-1	1	0.166
TIF1B	RELA	-1	-1	1	0.132
TIF1B	RPL11	1	1	1	0.069
TIF1B	SP1	-1	-1	1	0.762
TIF1B	STAT5B	1	1	1	0.279
TIF1B	TCF7L2	-1	-1	1	0.073
TIF1B	TIF1B	-1	-1	1	0.482
TIF1B	YY1	1	1	1	0.222
YY1	YY1	-1	-1	1	0.505
