AES	AES	-1	-1	1	1
GNL3	RELA	1	1	1	0.284
GNL3	SP1	-1	-1	1	0.605
GNL3	STAT5B	-1	-1	1	0.283
GNL3	TBP	-1	-1	1	0.375
GNL3	TCF7L2	-1	-1	1	0.631
GNL3	TIF1B	-1	-1	1	0.53
GNL3	YY1	1	1	1	0.428
JUN	AIB1	1	1	1	0.23
JUN	BRCA1	-1	-1	1	0.312
JUN	BRD4	1	1	1	0.261
JUN	BYSL	-1	-1	1	0.556
JUN	CCNB1	1	1	1	0.328
JUN	CEBPB	1	1	1	0.456
JUN	DP2	1	1	1	0.383
JUN	E2F4	-1	-1	1	0.81
JUN	ENO1	-1	-1	1	0.495
JUN	GCN1L1	1	1	1	0.487
JUN	GNL3	-1	-1	1	0.702
JUN	JUN	-1	-1	1	0.49
JUN	LKB1	1	1	1	0.547
JUN	MAX_1	-1	-1	1	0.552
JUN	MYB	-1	-1	1	0.354
JUN	MYC	1	1	1	0.284
JUN	MYCBP	1	1	1	0.257
JUN	NFKB1	1	1	1	0.691
JUN	P107	1	1	1	0.351
JUN	P53	-1	-1	1	0.454
JUN	RELA	-1	-1	1	0.224
JUN	SP1	1	1	1	0.904
JUN	STAT3	1	1	1	0.724
JUN	STAT5B	1	1	1	0.576
JUN	TCF7L2	1	1	1	0.38
JUN	TIF1B	-1	-1	1	0.724
LKB1	LKB1	-1	-1	1	0.696
MAX_1	MAX_1	-1	-1	1	0.978
MIZ1	MIZ1	-1	-1	1	0.995
MIZ1	RELA	1	1	1	0.477
MIZ1	TIF1B	1	1	1	0.567
MYB	MYB	-1	-1	1	0.698
MYC	BRCA1	1	1	1	0.249
MYC	BYSL	1	1	1	0.502
MYC	CEBPB	-1	-1	1	0.317
MYC	DP2	1	1	1	0.339
MYC	DVL3	-1	-1	1	0.545
MYC	E2F4	1	1	1	0.297
MYC	ENO1	1	1	1	0.62
MYC	FOXM1C	-1	-1	1	0.39
MYC	LKB1	-1	-1	1	0.265
MYC	MAX_1	-1	-1	1	0.327
MYC	MYB	1	1	1	0.772
MYC	MYC	1	1	1	0.762
MYC	RB1	1	1	1	0.291
MYC	SP1	-1	-1	1	0.932
MYC	STAT5B	1	1	1	0.423
MYC	TCF7L2	1	1	1	0.307
MYC	TIF1B	-1	-1	1	0.737
MYCBP	MYCBP	-1	-1	1	0.649
NFKB1	NFKB1	-1	-1	1	0.985
P107	BYSL	-1	-1	1	0.289
P107	DP2	1	1	1	0.219
P107	MIZ1	-1	-1	1	0.258
P107	P107	-1	-1	1	1
P107	SP1	1	1	1	0.485
P300	DP2	-1	-1	1	0.368
P300	MYC	-1	-1	1	0.672
P300	P107	1	1	1	0.281
P300	P300	-1	-1	1	1
P300	SP1	1	1	1	0.449
P53	P53	-1	-1	1	1
RB1	RB1	-1	-1	1	0.986
RELA	RELA	-1	-1	1	0.977
RPL11	RPL11	-1	-1	1	0.883
SP1	AIB1	1	1	1	0.392
SP1	BRCA1	1	1	1	0.338
SP1	BRD4	-1	-1	1	0.312
SP1	BYSL	1	1	1	0.312
SP1	DVL3	1	1	1	0.391
SP1	GNL3	1	1	1	0.346
SP1	JUN	-1	-1	1	0.879
SP1	LKB1	1	1	1	0.249
SP1	MAX_1	1	1	1	0.248
SP1	MIZ1	1	1	1	0.712
SP1	MYB	-1	-1	1	0.376
SP1	MYC	-1	-1	1	0.254
SP1	SP1	-1	-1	1	0.583
SP1	STAT3	-1	-1	1	0.232
SP1	STAT5B	-1	-1	1	0.221
SP1	TCF7L2	1	1	1	0.484
SP1	TIF1B	1	1	1	0.432
STAT3	STAT3	-1	-1	1	0.984
STAT5B	STAT5B	-1	-1	1	0.865
TBP	TBP	-1	-1	1	0.948
TCF7L2	TCF7L2	-1	-1	1	0.946
TIF1B	AIB1	1	1	1	0.804
TIF1B	BRCA1	1	1	1	0.22
TIF1B	BYSL	-1	-1	1	0.324
TIF1B	CCNB1	-1	-1	1	0.273
TIF1B	CEBPB	1	1	1	0.249
TIF1B	DP2	1	1	1	0.437
TIF1B	DVL3	1	1	1	0.861
TIF1B	E2F4	1	1	1	0.32
TIF1B	ENO1	1	1	1	0.656
TIF1B	FOXM1C	1	1	1	0.597
TIF1B	GNL3	1	1	1	0.582
TIF1B	JUN	1	1	1	0.288
TIF1B	MAX_1	-1	-1	1	0.428
TIF1B	MIZ1	1	1	1	0.234
TIF1B	MYB	1	1	1	0.42
TIF1B	MYC	-1	-1	1	0.672
TIF1B	MYCBP	-1	-1	1	0.358
TIF1B	NFKB1	-1	-1	1	0.287
TIF1B	P107	1	1	1	0.232
TIF1B	RELA	-1	-1	1	0.39
TIF1B	RPL11	1	1	1	0.343
TIF1B	SP1	-1	-1	1	0.899
TIF1B	STAT5B	1	1	1	0.452
TIF1B	TCF7L2	-1	-1	1	0.227
TIF1B	TIF1B	-1	-1	1	0.711
TIF1B	YY1	1	1	1	0.41
YY1	YY1	-1	-1	1	0.922
